,datetime,latitude,longitude,temperature
494054,2021-01-01 07:55:00,38.01,-77.97,3.9
108801,2021-01-01 07:55:00,38.527,-77.859,4.3
961613,2021-01-01 07:55:00,38.586,-77.711,4.3
94072,2021-01-01 07:55:00,38.398,-77.456,5.0
489434,2021-01-01 07:55:00,38.267,-77.449,5.1
226864,2021-01-01 07:56:00,38.504,-77.305,5.6
846504,2021-01-01 07:56:00,38.717,-77.183,4.1
447739,2021-01-01 07:56:00,38.721,-77.515,3.9
370960,2021-01-01 08:00:00,38.87,-77.02,3.6
707986,2021-01-01 08:15:00,38.01,-77.97,3.9
740098,2021-01-01 08:15:00,38.586,-77.711,4.2
972522,2021-01-01 08:15:00,38.398,-77.456,5.0
491530,2021-01-01 08:15:00,38.267,-77.449,5.0
109395,2021-01-01 08:15:00,38.527,-77.859,4.2
1191448,2021-01-01 08:35:00,38.586,-77.711,4.1
107211,2021-01-01 08:35:00,38.527,-77.859,4.1
914747,2021-01-01 08:35:00,38.267,-77.449,5.0
97482,2021-01-01 08:35:00,38.398,-77.456,4.8
122554,2021-01-01 08:35:00,38.01,-77.97,3.8
1190881,2021-01-01 08:52:00,38.935,-77.447,2.2
190429,2021-01-01 08:52:00,38.847,-77.035,3.3
94982,2021-01-01 08:55:00,38.398,-77.456,4.6
509880,2021-01-01 08:55:00,38.527,-77.859,4.0
933564,2021-01-01 08:55:00,38.586,-77.711,4.0
1336956,2021-01-01 08:55:00,38.01,-77.97,3.8
702838,2021-01-01 08:55:00,38.267,-77.449,4.8
522934,2021-01-01 08:56:00,38.721,-77.515,3.3
849385,2021-01-01 08:56:00,38.717,-77.183,3.6
227819,2021-01-01 08:56:00,38.504,-77.305,5.0
1345306,2021-01-01 09:00:00,38.85,-77.033,3.3
1169359,2021-01-01 09:00:00,38.87,-77.02,3.2
965952,2021-01-01 09:15:00,38.586,-77.711,4.0
93534,2021-01-01 09:15:00,38.398,-77.456,4.5
555672,2021-01-01 09:15:00,38.267,-77.449,4.6
709602,2021-01-01 09:15:00,38.01,-77.97,3.7
105300,2021-01-01 09:15:00,38.527,-77.859,4.0
111185,2021-01-01 09:35:00,38.527,-77.859,4.0
1328149,2021-01-01 09:35:00,38.398,-77.456,4.3
113750,2021-01-01 09:35:00,38.267,-77.449,4.5
1286285,2021-01-01 09:35:00,38.586,-77.711,3.8
559213,2021-01-01 09:35:00,38.01,-77.97,3.7
1191774,2021-01-01 09:52:00,38.935,-77.447,2.2
1116766,2021-01-01 09:52:00,38.847,-77.035,3.3
509145,2021-01-01 09:55:00,38.527,-77.859,3.8
1315476,2021-01-01 09:55:00,38.01,-77.97,3.6
94272,2021-01-01 09:55:00,38.398,-77.456,4.1
934991,2021-01-01 09:55:00,38.586,-77.711,3.8
116612,2021-01-01 09:55:00,38.267,-77.449,4.5
291929,2021-01-01 09:56:00,38.721,-77.515,3.3
920804,2021-01-01 09:56:00,38.717,-77.183,3.5
227606,2021-01-01 09:56:00,38.504,-77.305,4.4
1255729,2021-01-01 10:00:00,38.87,-77.02,3.0
89227,2021-01-01 10:15:00,38.586,-77.711,3.7
558213,2021-01-01 10:15:00,38.267,-77.449,4.3
107024,2021-01-01 10:15:00,38.527,-77.859,3.7
1085621,2021-01-01 10:15:00,38.398,-77.456,4.1
920082,2021-01-01 10:15:00,38.01,-77.97,3.4
971658,2021-01-01 10:35:00,38.398,-77.456,4.0
443134,2021-01-01 10:35:00,38.527,-77.859,3.6
88471,2021-01-01 10:35:00,38.586,-77.711,3.6
489078,2021-01-01 10:35:00,38.267,-77.449,4.2
1338178,2021-01-01 10:35:00,38.01,-77.97,3.2
188111,2021-01-01 10:52:00,38.847,-77.035,2.8
915230,2021-01-01 10:52:00,38.935,-77.447,1.7
973381,2021-01-01 10:55:00,38.398,-77.456,4.0
960521,2021-01-01 10:55:00,38.586,-77.711,3.6
708645,2021-01-01 10:55:00,38.01,-77.97,3.1
105964,2021-01-01 10:55:00,38.527,-77.859,3.5
1311903,2021-01-01 10:55:00,38.267,-77.449,4.2
290152,2021-01-01 10:56:00,38.721,-77.515,3.3
671756,2021-01-01 10:56:00,38.717,-77.183,3.2
226876,2021-01-01 10:56:00,38.504,-77.305,4.4
863961,2021-01-01 11:00:00,38.87,-77.02,2.7
114325,2021-01-01 11:15:00,38.267,-77.449,4.1
120230,2021-01-01 11:15:00,38.01,-77.97,3.1
94392,2021-01-01 11:15:00,38.398,-77.456,3.7
1190900,2021-01-01 11:15:00,38.586,-77.711,3.5
491065,2021-01-01 11:15:00,38.527,-77.859,3.5
1325440,2021-01-01 11:35:00,38.398,-77.456,3.7
106366,2021-01-01 11:35:00,38.527,-77.859,3.4
966873,2021-01-01 11:35:00,38.586,-77.711,3.4
554293,2021-01-01 11:35:00,38.267,-77.449,4.0
1336574,2021-01-01 11:35:00,38.01,-77.97,3.1
819326,2021-01-01 11:52:00,38.935,-77.447,1.7
484210,2021-01-01 11:52:00,38.847,-77.035,2.8
490755,2021-01-01 11:55:00,38.267,-77.449,4.0
1325242,2021-01-01 11:55:00,38.398,-77.456,3.6
124360,2021-01-01 11:55:00,38.01,-77.97,3.1
819596,2021-01-01 11:55:00,38.527,-77.859,3.5
91234,2021-01-01 11:55:00,38.586,-77.711,3.3
1116471,2021-01-01 11:56:00,38.504,-77.305,3.9
1349563,2021-01-01 11:56:00,38.721,-77.515,2.8
1201031,2021-01-01 11:56:00,38.717,-77.183,3.0
187867,2021-01-01 12:00:00,38.85,-77.033,2.8
1169733,2021-01-01 12:00:00,38.87,-77.02,2.6
841146,2021-01-01 12:00:00,38.95,-77.45,1.7
849625,2021-01-01 12:11:00,38.717,-77.183,3.0
647056,2021-01-01 12:15:00,38.398,-77.456,3.6
1286692,2021-01-01 12:15:00,38.586,-77.711,3.3
105455,2021-01-01 12:15:00,38.527,-77.859,3.2
1326939,2021-01-01 12:15:00,38.267,-77.449,4.0
711275,2021-01-01 12:15:00,38.01,-77.97,3.0
829038,2021-01-01 12:34:00,38.717,-77.183,2.0
114651,2021-01-01 12:35:00,38.267,-77.449,4.0
488210,2021-01-01 12:35:00,38.527,-77.859,3.1
1338163,2021-01-01 12:35:00,38.01,-77.97,3.0
1290707,2021-01-01 12:35:00,38.586,-77.711,3.2
94157,2021-01-01 12:35:00,38.398,-77.456,3.6
193784,2021-01-01 12:52:00,38.935,-77.447,1.7
189769,2021-01-01 12:52:00,38.847,-77.035,2.8
95444,2021-01-01 12:55:00,38.398,-77.456,3.6
108094,2021-01-01 12:55:00,38.527,-77.859,3.1
1339539,2021-01-01 12:55:00,38.01,-77.97,2.9
489390,2021-01-01 12:55:00,38.267,-77.449,4.0
1193303,2021-01-01 12:55:00,38.586,-77.711,3.1
1349084,2021-01-01 12:56:00,38.721,-77.515,2.8
225451,2021-01-01 12:56:00,38.504,-77.305,3.9
199275,2021-01-01 12:56:00,38.717,-77.183,2.3
370342,2021-01-01 13:00:00,38.87,-77.02,2.6
509345,2021-01-01 13:15:00,38.527,-77.859,3.2
97379,2021-01-01 13:15:00,38.398,-77.456,3.6
1310009,2021-01-01 13:15:00,38.267,-77.449,4.0
1193404,2021-01-01 13:15:00,38.586,-77.711,3.2
1318636,2021-01-01 13:15:00,38.01,-77.97,2.9
489391,2021-01-01 13:35:00,38.527,-77.859,3.1
1326027,2021-01-01 13:35:00,38.267,-77.449,4.0
649642,2021-01-01 13:35:00,38.398,-77.456,3.6
564127,2021-01-01 13:35:00,38.01,-77.97,2.9
743367,2021-01-01 13:35:00,38.586,-77.711,3.2
1116720,2021-01-01 13:52:00,38.847,-77.035,2.8
662235,2021-01-01 13:52:00,38.935,-77.447,1.7
95019,2021-01-01 13:55:00,38.398,-77.456,3.6
705339,2021-01-01 13:55:00,38.267,-77.449,3.8
123170,2021-01-01 13:55:00,38.01,-77.97,2.9
106545,2021-01-01 13:55:00,38.527,-77.859,3.2
90567,2021-01-01 13:55:00,38.586,-77.711,3.2
1116714,2021-01-01 13:56:00,38.504,-77.305,3.9
202232,2021-01-01 13:56:00,38.717,-77.183,2.8
1349207,2021-01-01 13:56:00,38.721,-77.515,2.8
372336,2021-01-01 14:00:00,38.87,-77.02,2.7
1085438,2021-01-01 14:15:00,38.398,-77.456,3.6
495255,2021-01-01 14:15:00,38.01,-77.97,2.8
703636,2021-01-01 14:15:00,38.267,-77.449,3.8
453124,2021-01-01 14:15:00,38.527,-77.859,3.2
935324,2021-01-01 14:15:00,38.586,-77.711,3.5
1323536,2021-01-01 14:35:00,38.398,-77.456,3.6
452248,2021-01-01 14:35:00,38.527,-77.859,3.2
1193407,2021-01-01 14:35:00,38.586,-77.711,3.5
558849,2021-01-01 14:35:00,38.267,-77.449,3.8
493865,2021-01-01 14:35:00,38.01,-77.97,2.8
191085,2021-01-01 14:52:00,38.847,-77.035,2.8
193363,2021-01-01 14:52:00,38.935,-77.447,2.2
964184,2021-01-01 14:55:00,38.586,-77.711,3.5
1319086,2021-01-01 14:55:00,38.01,-77.97,2.5
113870,2021-01-01 14:55:00,38.267,-77.449,3.7
110120,2021-01-01 14:55:00,38.527,-77.859,3.2
1327336,2021-01-01 14:55:00,38.398,-77.456,3.6
227207,2021-01-01 14:56:00,38.504,-77.305,3.9
289846,2021-01-01 14:56:00,38.721,-77.515,2.8
670929,2021-01-01 14:56:00,38.717,-77.183,2.8
370993,2021-01-01 15:00:00,38.87,-77.02,2.6
190732,2021-01-01 15:00:00,38.85,-77.033,2.8
1319580,2021-01-01 15:15:00,38.01,-77.97,2.3
741581,2021-01-01 15:15:00,38.586,-77.711,3.0
106182,2021-01-01 15:15:00,38.527,-77.859,2.7
971273,2021-01-01 15:15:00,38.398,-77.456,3.1
1309768,2021-01-01 15:15:00,38.267,-77.449,3.5
671707,2021-01-01 15:24:00,38.717,-77.183,3.0
108072,2021-01-01 15:35:00,38.527,-77.859,2.7
742342,2021-01-01 15:35:00,38.586,-77.711,2.8
116372,2021-01-01 15:35:00,38.267,-77.449,3.3
710557,2021-01-01 15:35:00,38.01,-77.97,2.0
1327285,2021-01-01 15:35:00,38.398,-77.456,2.7
194467,2021-01-01 15:52:00,38.935,-77.447,2.2
1348732,2021-01-01 15:52:00,38.847,-77.035,3.3
650972,2021-01-01 15:55:00,38.398,-77.456,2.7
87838,2021-01-01 15:55:00,38.586,-77.711,2.7
107253,2021-01-01 15:55:00,38.527,-77.859,2.5
1314995,2021-01-01 15:55:00,38.01,-77.97,1.9
702788,2021-01-01 15:55:00,38.267,-77.449,3.2
521669,2021-01-01 15:56:00,38.721,-77.515,2.2
225374,2021-01-01 15:56:00,38.504,-77.305,3.3
199846,2021-01-01 15:56:00,38.717,-77.183,2.7
636103,2021-01-01 16:00:00,38.87,-77.02,2.8
648119,2021-01-01 16:15:00,38.398,-77.456,2.5
90093,2021-01-01 16:15:00,38.586,-77.711,2.5
704772,2021-01-01 16:15:00,38.267,-77.449,3.1
108584,2021-01-01 16:15:00,38.527,-77.859,2.4
